User,function,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day
User_10,count,58616,58616,58616,58616,58616,58616,58616,58616,58616,58616,58616
User_10,mean,20.63598676,23.64214549,26.51342637,0.241179883,73.50151836,0.146939402,0.406032483,0.304114917,0.142913198,46.57143016,1.260253173
User_10,std,38.59248264,44.75813848,45.51621613,0.479831925,11.72283039,0.354048518,0.49109492,0.460035482,0.349987293,71.2968878,0.438776416
User_10,min,0,0,0,0,8,0,0,0,0,0,1
User_10,25%,0,0,0,0,66,0,0,0,0,0,1
User_10,50%,0,0,0,0,72,0,0,0,0,0,1
User_10,75%,29,31,39,0,80,0,1,1,0,79.3125,2
User_10,max,470,458,425,3,218,1,1,1,1,555.3,2
,,,,,,,,,,,,
User_11,count,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362
User_11,mean,24.69382113,27.24307364,29.02366812,0.287923115,70.38790556,0.188218601,0.463035019,0.242181329,0.106565051,52.37722945,1.399330037
User_11,std,41.95248824,47.00478674,47.99146363,0.52279149,11.10666683,0.390889491,0.498635365,0.428406603,0.308561717,75.6544859,0.489764298
User_11,min,0,0,0,0,16,0,0,0,0,0,1
User_11,25%,0,0,0,0,61,0,0,0,0,0,1
User_11,50%,0,0,0,0,70,0,0,0,0,3.61,1
User_11,75%,38,44,43,1,78,0,1,0,0,90.4875,2
User_11,max,486,577,461,3,213,1,1,1,1,610.95,2
,,,,,,,,,,,,
User_12,count,68739,68739,68739,68739,68739,68739,68739,68739,68739,68739,68739
User_12,mean,17.86659684,17.25167663,19.61969188,0.196002269,73.87104846,0.282285166,0.308878511,0.264027699,0.144808624,35.75242075,1.381835639
User_12,std,40.73297825,45.08851572,43.65696048,0.473946018,16.86861123,0.45011465,0.462034287,0.440817309,0.351910341,72.94937409,0.485840115
User_12,min,0,0,0,0,49,0,0,0,0,0,1
User_12,25%,0,0,0,0,61,0,0,0,0,0,1
User_12,50%,0,0,0,0,73,0,0,0,0,0,1
User_12,75%,15,5,18,0,81,1,1,1,0,40.105,2
User_12,max,626,559,604,4,166,1,1,1,1,645.8,2
,,,,,,,,,,,,
User_13,count,67350,67350,67350,67350,67350,67350,67350,67350,67350,67350,67350
User_13,mean,13.57842613,15.46212324,16.20978471,0.156852264,75.39193764,0.208685969,0.328596882,0.335664439,0.12705271,29.9354288,1.380831477
User_13,std,31.71125362,37.69933807,34.56287677,0.397452367,14.49179121,0.406372473,0.469706554,0.472225724,0.333034481,58.40813349,0.485594856
User_13,min,0,0,0,0,15,0,0,0,0,0,1
User_13,25%,0,0,0,0,61,0,0,0,0,0,1
User_13,50%,0,0,0,0,75,0,0,0,0,0,1
User_13,75%,9,6,15,0,87,0,1,1,0,36.01,2
User_13,max,426,463,343,3,145,1,1,1,1,482.58,2
,,,,,,,,,,,,
User_14,count,67995,67995,67995,67995,67995,67995,67995,67995,67995,67995,67995
User_14,mean,13.16108537,11.78642547,13.26968159,0.122229576,72.17255681,0.292771527,0.2580778,0.252562688,0.196587984,25.39307743,1.361423634
User_14,std,33.05456279,34.00358111,32.28989727,0.344278042,13.21264314,0.455037806,0.437580238,0.434485389,0.397421026,55.99009422,0.480416471
User_14,min,0,0,0,0,47,0,0,0,0,0,1
User_14,25%,0,0,0,0,62,0,0,0,0,0,1
User_14,50%,0,0,0,0,70,0,0,0,0,0,1
User_14,75%,4,0,5,0,78,1,1,1,0,18.87,2
User_14,max,493,620,401,3,207,1,1,1,1,732.02,2
,,,,,,,,,,,,
User_15,count,71045,71045,71045,71045,71045,71045,71045,71045,71045,71045,71045
User_15,mean,20.28459427,21.76648603,20.73430924,0.217397424,91.45537335,0.107720459,0.418622,0.312055739,0.161601802,41.59565332,1.418467169
User_15,std,38.32012779,43.94461724,39.63732017,0.442602377,28.53972893,0.310029216,0.493336647,0.463335706,0.368087716,67.49542029,0.493311081
User_15,min,0,0,0,0,12,0,0,0,0,0,1
User_15,25%,0,0,0,0,70,0,0,0,0,0,1
User_15,50%,0,0,0,0,89,0,0,0,0,0,1
User_15,75%,27,27,26,0,102,0,1,1,0,70.21,2
User_15,max,504,479,441,3,240,1,1,1,1,544.2,2
,,,,,,,,,,,,
User_16,count,69850,69850,69850,69850,69850,69850,69850,69850,69850,69850,69850
User_16,mean,15.61291339,15.08263422,20.68691482,0.167015032,69.78986399,0.209119542,0.319885469,0.344538296,0.126456693,34.27001374,1.385382963
User_16,std,35.85596646,35.95673092,43.90672484,0.407829055,15.30179425,0.406682833,0.46643528,0.475220887,0.332365731,65.04686323,0.486689147
User_16,min,0,0,0,0,10,0,0,0,0,0,1
User_16,25%,0,0,0,0,55,0,0,0,0,0,1
User_16,50%,0,0,0,0,71,0,0,0,0,0,1
User_16,75%,11,9,21,0,80,0,1,1,0,44.16,2
User_16,max,577,489,488,3,224,1,1,1,1,686.15,2
,,,,,,,,,,,,
User_17,count,68351,68351,68351,68351,68351,68351,68351,68351,68351,68351,68351
User_17,mean,15.7035742,17.0862021,19.38919694,0.181387251,85.87309622,0.203932642,0.343038141,0.342131059,0.110898158,34.4811855,1.392547293
User_17,std,34.95156417,39.23834659,45.80368762,0.429919114,21.40711353,0.402922442,0.474727577,0.474426697,0.314008279,67.71087983,0.488321005
User_17,min,0,0,0,0,20,0,0,0,0,0,1
User_17,25%,0,0,0,0,68,0,0,0,0,0,1
User_17,50%,0,0,0,0,87,0,0,0,0,0,1
User_17,75%,14,13,17,0,99,0,1,1,0,45.72,2
User_17,max,451,539,919,4,228,1,1,1,1,1017.89,2
,,,,,,,,,,,,
User_18,count,65911,65911,65911,65911,65911,65911,65911,65911,65911,65911,65911
User_18,mean,12.51056728,10.51546783,13.84949401,0.118963451,70.53233906,0.26473578,0.266450213,0.296096251,0.172717756,24.73075572,1.371637511
User_18,std,31.81243591,29.74449838,34.67783431,0.34432362,11.47047215,0.441195762,0.442105714,0.456537428,0.378005953,54.28262974,0.483245915
User_18,min,0,0,0,0,16,0,0,0,0,0,1
User_18,25%,0,0,0,0,63,0,0,0,0,0,1
User_18,50%,0,0,0,0,70,0,0,0,0,0,1
User_18,75%,4,0,4,0,75,1,1,1,0,18,2
User_18,max,395,466,427,3,228,1,1,1,1,573.76,2
,,,,,,,,,,,,
User_19,count,68326,68326,68326,68326,68326,68326,68326,68326,68326,68326,68326
User_19,mean,14.41284431,14.69670404,15.71826245,0.152035828,73.56283113,0.233556772,0.290548254,0.327591254,0.14830372,29.79535594,1.393876416
User_19,std,36.01834685,38.03697814,36.64402798,0.390195459,16.65664701,0.423096474,0.454018703,0.469338309,0.355403398,62.2088142,0.488611583
User_19,min,0,0,0,0,3,0,0,0,0,0,1
User_19,25%,0,0,0,0,57,0,0,0,0,0,1
User_19,50%,0,0,0,0,72,0,0,0,0,0,1
User_19,75%,6,0,10,0,87,0,1,1,0,29,2
User_19,max,450,458,410,3,152,1,1,1,1,558.96,2
,,,,,,,,,,,,
User_20,count,64740,64740,64740,64740,64740,64740,64740,64740,64740,64740,64740
User_20,mean,12.76848934,12.10220884,14.71632685,0.13858511,70.01424158,0.212727834,0.283673154,0.349891875,0.153707136,26.43201576,1.354618474
User_20,std,32.03012707,32.21981739,34.84357015,0.380493622,14.74173933,0.409239893,0.450783578,0.476939267,0.360670572,55.72728587,0.478401241
User_20,min,0,0,0,0,13,0,0,0,0,0,1
User_20,25%,0,0,0,0,57,0,0,0,0,0,1
User_20,50%,0,0,0,0,70,0,0,0,0,0,1
User_20,75%,5,1,8,0,80,0,1,1,0,25,2
User_20,max,468,503,419,3,233,1,1,1,1,602.73,2
,,,,,,,,,,,,
User_21,count,67186,67186,67186,67186,67186,67186,67186,67186,67186,67186,67186
User_21,mean,14.2973685,11.24177656,16.76950555,0.137052362,76.1285238,0.186497187,0.315958682,0.388190992,0.109353139,28.41126916,1.378739618
User_21,std,34.62848892,30.76067901,37.03916626,0.369726256,14.64121032,0.389510262,0.4649,0.487342057,0.312084091,57.63727541,0.485076718
User_21,min,0,0,0,0,51,0,0,0,0,0,1
User_21,25%,0,0,0,0,65,0,0,0,0,0,1
User_21,50%,0,0,0,0,74,0,0,0,0,0,1
User_21,75%,6,0,14,0,83,0,1,1,0,29.7,2
User_21,max,447,616,540,3,197,1,1,1,1,691.95,2
,,,,,,,,,,,,
User_22,count,67874,67874,67874,67874,67874,67874,67874,67874,67874,67874,67874
User_22,mean,17.18245573,17.90024162,23.39527654,0.196746913,65.29756608,0.202816984,0.361684887,0.271046351,0.164451778,39.38301574,1.370068067
User_22,std,34.5643293,39.15776057,45.76801066,0.441844988,11.06498329,0.402100283,0.480491759,0.444503248,0.37068776,66.59353315,0.482826188
User_22,min,0,0,0,0,42,0,0,0,0,0,1
User_22,25%,0,0,0,0,57,0,0,0,0,0,1
User_22,50%,0,0,0,0,67,0,0,0,0,0,1
User_22,75%,20,16,28,0,72,0,1,1,0,61.33,2
User_22,max,402,492,405,3,131,1,1,1,1,551.74,2
